actual_coverage,benign_coverage,attack_coverage,accepted_rows,abstained_rows,selective_risk,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1,attack_abstention_rate,accepted_false_negative_rate,seed,dataset,model,condition_type,missing_groups,desired_policy_coverage,confidence_cutoff,aurc
0.1598369934344577,0.2003978203456691,0.0008517329489615,24004,126174,0.0,1.0,1.0,1.0,1.0,0.9991482670510384,0.0,2027,source,ordinary_baseline,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,0.9,0.9999525181100614,0.0294112202946091
0.3589007710849791,0.4431016614849731,0.028860643385966,53899,96279,0.0001855321991131,0.9998144678008868,0.9887766554433222,1.0,0.9943566591422122,0.971139356614034,0.0,2027,source,ordinary_baseline,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,0.95,0.9996191215135498,0.0294112202946091
0.5717148983206595,0.6279042556747902,0.3514708772849374,85859,64319,1.16470026438696e-05,0.999988352997356,1.0,0.9999067946686552,0.999953395162418,0.6485291227150626,3.2758959575443885e-05,2027,source,full_method,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,0.8,0.9998136103081596,0.0020766829658123
0.7444033080744183,0.8229532310366731,0.4365131363427897,111793,38385,3.578041558952707e-05,0.9999642195844104,1.0,0.9996998123827392,0.9998498836598364,0.5634868636572102,0.0001310358383017,2027,source,full_method,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,0.9,0.9985148348024138,0.0020766829658123
0.841321631663759,0.8981379333400193,0.6186201926226823,126348,23830,0.00030075664039,0.99969924335961,1.0,0.997987714467274,0.9989928438908032,0.3813798073773177,0.0012448404638668,2027,source,full_method,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context,0.95,0.9940159898170458,0.0020766829658123
0.5744543073413916,0.635838052797766,0.2730821553202815,573962,425181,0.0804408654231464,0.9195591345768536,0.0,0.0,0.0,0.7269178446797184,0.2730821553202815,2027,target,ordinary_baseline,complete,,0.8,0.9999925032700044,0.057699299297569
0.6845596676351633,0.7537252747649905,0.344981368663867,683973,315170,0.0852752959546648,0.9147247040453352,0.0,0.0,0.0,0.6550186313361329,0.344981368663867,2027,target,ordinary_baseline,complete,,0.9,0.9999525181100614,0.057699299297569
0.7746148449220982,0.8585847268854667,0.3623528715916484,773951,225192,0.0790256747520191,0.9209743252479808,1.0,0.0016486296785988,0.0032918323446972,0.6376471284083516,0.3617554858934169,2027,target,ordinary_baseline,complete,,0.95,0.9996191215135498,0.057699299297569
0.7523507646052667,0.8347856152410692,0.3476252439817827,751706,247437,0.0781861525649655,0.9218138474350344,0.0,0.0,0.0,0.6523747560182173,0.3476252439817827,2027,target,full_method,complete,,0.8,0.9998136103081596,0.0609818652906106
0.8496971904922519,0.9469432206564964,0.3722540959365943,848969,150174,0.0735633456580864,0.9264366543419136,1.0,0.0076902299124521,0.0152630832058781,0.6277459040634057,0.3693913763529899,2027,target,full_method,complete,,0.9,0.9985148348024138,0.0609818652906106
0.8811611551099292,0.9732686161337616,0.4289465901697522,880406,118737,0.0813397455264957,0.9186602544735044,0.9789473684210528,0.0128236948787954,0.0253157665505226,0.5710534098302478,0.4234459099781156,2027,target,full_method,complete,,0.95,0.9940159898170458,0.0609818652906106
0.3184078755493458,0.3418422235152812,0.2033536405039333,318135,681008,0.1080704732267748,0.8919295267732252,0.0,0.0,0.0,0.7966463594960668,0.2033536405039333,2027,target,ordinary_baseline,single,G1_Packet_Byte_Magnitude,0.8,0.9999925032700044,0.0894491332490244
0.6206949355597747,0.6805606253907789,0.3267758916425149,620163,378980,0.089086256355184,0.910913743644816,0.0,0.0,0.0,0.673224108357485,0.3267758916425149,2027,target,ordinary_baseline,single,G1_Packet_Byte_Magnitude,0.9,0.9999525181100614,0.0894491332490244
0.7550120453228417,0.8128887459295748,0.470858224404093,754365,244778,0.1055298164681553,0.8944701835318447,0.0,0.0,0.0,0.529141775595907,0.470858224404093,2027,target,ordinary_baseline,single,G1_Packet_Byte_Magnitude,0.95,0.9996191215135498,0.0894491332490244
0.5707811594536518,0.637611390805387,0.2426687170994262,570292,428851,0.0719420928226242,0.9280579071773758,0.0,0.0,0.0,0.7573312829005737,0.2426687170994262,2027,target,full_method,single,G1_Packet_Byte_Magnitude,0.8,0.9998136103081596,0.0568486681483602
