rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,false_positive_rate,false_negative_rate,brier,logloss,ece,tn,fp,fn,tp,seed,dataset,model,condition_type,missing_groups
999143,0.8237649665763559,0.4973340792477571,0.0793955384984408,0.0039155379428639,0.007463023088023,0.7328983030984124,0.4593430114012636,-0.0219757452015573,0.0092473794473498,0.996084462057136,0.1635251304996448,1.2805781212505605,0.1672081762038211,822397,7676,168408,662,2027,target,ordinary_baseline,single,G1_Packet_Byte_Magnitude
999143,0.8780745098549457,0.6485444672118114,0.9316317395355636,0.3015969716685396,0.4556775378346134,0.8246893932419292,0.6834320655348574,0.4895228641040149,0.004508037244917,0.6984030283314604,0.0994172166374223,0.6889455485099171,0.1036343762499233,826331,3742,118079,50991,2027,target,full_method,single,G1_Packet_Byte_Magnitude
999143,0.8311623060963246,0.5011384727958514,0.9748110831234256,0.0022889927249068,0.0045672608826497,0.8288818835971956,0.6710620742848554,0.04283722145095,1.2047133203947125e-05,0.9977110072750932,0.1658199798168269,1.5444829321626052,0.1673535885881774,830063,10,168683,387,2027,target,ordinary_baseline,single,G2_Temporal_Activity
999143,0.8580673637307172,0.5813940427880843,0.9881451237419864,0.1631868456852191,0.2801143199435507,0.8253288830864152,0.6876352336240548,0.3703303417491506,0.0003987601090506,0.8368131543147809,0.1223414966950958,1.0140857187926535,0.1311207083767065,829742,331,141480,27590,2027,target,full_method,single,G2_Temporal_Activity
999143,0.8552399406291191,0.5730889700415809,0.9859972949319756,0.1466019991719406,0.2552521008403361,0.8155075124695286,0.6499650316318037,0.3499671684116064,0.0004240590887789,0.8533980008280594,0.1385046718133796,1.1807426231334788,0.1466072191395559,829721,352,144284,24786,2027,target,ordinary_baseline,single,G3_TCP_Control_Flags
999143,0.8548756284135504,0.5718264479785455,0.9889096522586936,0.1439817826935588,0.2513656123829291,0.8198391336071015,0.7092913910255022,0.3474562483413256,0.0003288867364677,0.8560182173064411,0.1256429998379311,1.0320444018987442,0.1364673350875989,829800,273,144727,24343,2027,target,full_method,single,G3_TCP_Control_Flags
999143,0.7612363795772977,0.5776990357986267,0.2968431146687872,0.30027207665464,0.298547750174217,0.7345773740344674,0.3539945613187293,0.1546903237606742,0.1448740050573865,0.6997279233453599,0.1883594690536811,0.8563931073547825,0.1873181376647952,709817,120256,118303,50767,2027,target,ordinary_baseline,single,G4_Rate_Header_Flow_Context
999143,0.8301144080476969,0.5031100784737296,0.40831964969896,0.0088247471461524,0.0172761168106343,0.8290907931107986,0.539976303232314,0.0386358311041825,0.0026045901986933,0.9911752528538476,0.1472905240292693,0.8748391815938872,0.151217490060339,827911,2162,167578,1492,2027,target,full_method,single,G4_Rate_Header_Flow_Context
999143,0.8308080024581066,0.5000703741619416,0.96,0.0001419530372035,0.000283864100062,0.7249199665607352,0.4931377583802562,0.010550092220882,1.2047133203947122e-06,0.9998580469627965,0.1651099187452492,1.61311063371538,0.166829187452017,830072,1,169046,24,2027,target,ordinary_baseline,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity
999143,0.8776401375979214,0.6451956416741831,0.9454753068798172,0.293842787011297,0.4483451029939309,0.8369568378332082,0.6619944273017383,0.4877828274294256,0.0034515036629308,0.7061572129887029,0.1040607693301317,0.6245526704525964,0.1121656327771453,827208,2865,119390,49680,2027,target,full_method,pairwise_unseen,G1_Packet_Byte_Magnitude+G2_Temporal_Activity
