actual_coverage,benign_coverage,attack_coverage,accepted_rows,abstained_rows,selective_risk,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1,attack_abstention_rate,accepted_false_negative_rate,seed,dataset,model,condition_type,missing_groups,desired_policy_coverage,confidence_cutoff,aurc
0.8035065056133388,0.8590328619663692,0.5858612330472385,120669,29509,0.0001243069885388,0.9998756930114612,0.9991619643555506,1.0,0.9995808065282396,0.4141387669527616,0.0,2027,source,group_aware_random_forest,single,G1_Packet_Byte_Magnitude,0.9,0.9983293982691632,0.0001025378041874
0.898347294543808,0.9436616186942132,0.7207298696193409,134912,15266,0.0002890773244781,0.999710922675522,0.9984566500226963,0.9997727376028362,0.9991142604074402,0.2792701303806591,0.0001637947978772,2027,source,group_aware_random_forest,single,G1_Packet_Byte_Magnitude,0.95,0.9940098590285424,0.0001025378041874
0.3322057824714672,0.4169591816267174,0.0,49890,100288,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2027,source,ordinary_random_forest,single,G2_Temporal_Activity,0.8,0.9999126649926116,0.0060283032711283
0.395830281399406,0.4968157657205897,0.0,59445,90733,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2027,source,ordinary_random_forest,single,G2_Temporal_Activity,0.9,0.9993970800012172,0.0060283032711283
0.5157879316544367,0.6473773944438873,0.0,77460,72718,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2027,source,ordinary_random_forest,single,G2_Temporal_Activity,0.95,0.9971503853542002,0.0060283032711283
0.8348493121495825,0.8827349313007722,0.647153246412894,125376,24802,1.5952016334864728e-05,0.9999840479836652,0.9998987700561828,1.0,0.9999493824660862,0.3528467535871061,0.0,2027,source,group_aware_random_forest,single,G2_Temporal_Activity,0.8,0.9996991705628446,4.6731636824629234e-05
0.9035810837805804,0.9416558018252934,0.7543405621437463,135698,14480,0.0001694940234933,0.9998305059765068,0.9990887789638117,0.9999131454379642,0.9995007922210404,0.2456594378562537,6.551791915088777e-05,2027,source,group_aware_random_forest,single,G2_Temporal_Activity,0.9,0.9983293982691632,4.6731636824629234e-05
0.9369281785614404,0.9737990171497344,0.7924064731704121,140706,9472,0.0002700666638238,0.999729933336176,0.9985138091896132,0.9999173177890776,0.999215070643642,0.2075935268295879,6.551791915088777e-05,2027,source,group_aware_random_forest,single,G2_Temporal_Activity,0.95,0.9940098590285424,4.6731636824629234e-05
0.5605481495292253,0.6371811586935446,0.2601716569481753,84182,65996,0.0,1.0,1.0,1.0,1.0,0.7398283430518247,0.0,2027,source,ordinary_random_forest,single,G3_TCP_Control_Flags,0.8,0.9999126649926116,0.0001236440772461
0.6599768274980357,0.7572878012904088,0.2785494332699993,99114,51064,0.0,1.0,1.0,1.0,1.0,0.7214505667300006,0.0,2027,source,ordinary_random_forest,single,G3_TCP_Control_Flags,0.9,0.9993970800012172,0.0001236440772461
0.7837832438839244,0.9050830742486544,0.3083273275240778,117707,32471,8.495671455393477e-06,0.9999915043285446,1.0,0.9998937526561836,0.9999468735058172,0.6916726724759221,3.2758959575443885e-05,2027,source,ordinary_random_forest,single,G3_TCP_Control_Flags,0.95,0.9971503853542002,0.0001236440772461
0.8633488260597424,0.9089108414401764,0.6847605320055035,129656,20522,1.5425433454680076e-05,0.9999845745665452,0.999904329107869,1.0,0.9999521622655952,0.3152394679944965,0.0,2027,source,group_aware_random_forest,single,G3_TCP_Control_Flags,0.8,0.9996991705628446,4.7720183984676185e-05
0.9219459574638096,0.9587721057734097,0.7775994234423115,138456,11722,0.0002094528225573,0.9997905471774426,0.9988637320090902,0.999915743354257,0.9993894608307544,0.2224005765576885,6.551791915088777e-05,2027,source,group_aware_random_forest,single,G3_TCP_Control_Flags,0.9,0.9983293982691632,4.7720183984676185e-05
0.9534419155934956,0.9851318824591316,0.8292275437332111,143186,6992,0.00027237299736,0.99972762700264,0.9985796575396512,0.9998814838225418,0.99923014666693,0.1707724562667889,9.827687872633164e-05,2027,source,group_aware_random_forest,single,G3_TCP_Control_Flags,0.95,0.9940098590285424,4.7720183984676185e-05
