rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,false_positive_rate,false_negative_rate,brier,logloss,ece,tn,fp,fn,tp,seed,dataset,model,condition_type,missing_groups
999143,0.8309761465575999,0.5005789847835616,0.9704433497536946,0.0011651978470456,0.0023276009759382,0.8507953607372315,0.5738879825843392,0.0304628719622397,7.2282799223682735e-06,0.9988348021529544,0.1460539975922293,0.6209689088985095,0.147954866860159,830067,6,168873,197,2027,target,group_aware_random_forest,pairwise_unseen,G2_Temporal_Activity+G4_Rate_Header_Flow_Context
999143,0.7968388909295266,0.6073803358919745,0.3809604031980682,0.3210031347962382,0.3484211844086142,0.7786440857607471,0.3655423565406065,0.2302970414387349,0.1062424630122892,0.6789968652037618,0.1408451271616412,0.5012103083190748,0.1202132007389729,741884,88189,114798,54272,2027,target,ordinary_random_forest,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context
999143,0.8323233010690162,0.5051294941192771,0.8780127889818002,0.0105577571420121,0.0208646254010742,0.8254478808482071,0.4171703638442508,0.0853602595325275,0.0002987689034578,0.9894422428579878,0.1527818577052225,0.7403411926454162,0.1564762256938414,829825,248,167285,1785,2027,target,group_aware_random_forest,pairwise_unseen,G3_TCP_Control_Flags+G4_Rate_Header_Flow_Context
150178,0.998435190240914,0.9987007674305104,0.9931941776026572,0.9991482670510384,0.9961623254674614,0.9998826090738376,0.999506683993011,0.9951865819940796,0.0017467321900177,0.0008517329489615,0.0036304996210343,0.0144382501347544,0.0086767743896425,119443,209,26,30500,2028,source,ordinary_random_forest,complete,
150178,0.9987947635472572,0.998218781538904,0.9968237335865614,0.9972482473956628,0.997035945304184,0.9998853031212608,0.9995192098346776,0.9962795797144484,0.0008106843178551,0.0027517526043372,0.0043399038935358,0.0156595270371799,0.0095405911264758,119555,97,84,30442,2028,source,group_aware_random_forest,complete,
150178,0.7991250382878984,0.5058802332437922,1.0,0.0117604664875843,0.0232475311639954,0.8383213206580111,0.758468479881677,0.0969145109407403,0.0,0.9882395335124156,0.184700598278009,0.6923073757242835,0.1831535861372834,119652,0,30167,359,2028,source,ordinary_random_forest,single,G1_Packet_Byte_Magnitude
150178,0.9979224653411284,0.996146273854577,0.9966140696909928,0.9931533774487322,0.9948807140747546,0.9997455057424508,0.9987111603286032,0.9935798805883254,0.0008608297395781,0.0068466225512677,0.0085114693286423,0.0271903128089276,0.0155417642827965,119549,103,209,30317,2028,source,group_aware_random_forest,single,G1_Packet_Byte_Magnitude
150178,0.9688103450571988,0.926938725067552,0.9886544134331744,0.856384721221254,0.9177784019098442,0.9991322714182512,0.9962320752970284,0.902184349362156,0.0025072710861498,0.143615278778746,0.0605087338317214,0.1642284894428724,0.0880118288739204,119352,300,4384,26142,2028,source,ordinary_random_forest,single,G2_Temporal_Activity
150178,0.99772270239316,0.9959599068270488,0.9957950065703024,0.992989582650855,0.994390315913788,0.9998713198104812,0.9994506450857958,0.9929632435726876,0.0010697689967572,0.0070104173491449,0.0019215566777181,0.0086518941564326,0.0018865585519994,119524,128,214,30312,2028,source,group_aware_random_forest,single,G2_Temporal_Activity
150178,0.9983752613565235,0.99813852849452,0.9942870201096892,0.9977396317892944,0.9960103338892704,0.9997917100246768,0.9990502042267414,0.9949926187369308,0.001462574800254,0.0022603682107056,0.0177016093719295,0.0551138531394682,0.0397285903340385,119477,175,69,30457,2028,source,ordinary_random_forest,single,G3_TCP_Control_Flags
