job_id,direction,variant,partition_seed,model_seed,action,training_replacement,output_subdir
reverse_random_partition_group_mask_partition_4102_seed_2030,reverse,random_partition_group_mask,4102,2030,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4102_seed_2030
reverse_random_partition_group_mask_partition_4103_seed_2030,reverse,random_partition_group_mask,4103,2030,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4103_seed_2030
reverse_random_partition_group_mask_partition_4104_seed_2030,reverse,random_partition_group_mask,4104,2030,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4104_seed_2030
reverse_random_partition_group_mask_partition_4105_seed_2030,reverse,random_partition_group_mask,4105,2030,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4105_seed_2030
reverse_semantic_uniform_singleton_seed_2030,reverse,semantic_uniform_singleton,,2030,train_new,source_training_median,revision_v2/reverse/reverse_semantic_uniform_singleton_seed_2030
reverse_matched_complete_baseline_seed_2031,reverse,matched_complete_baseline,,2031,train_new,source_training_median,revision_v2/reverse/reverse_matched_complete_baseline_seed_2031
reverse_iid_matched_feature_dropout_seed_2031,reverse,iid_matched_feature_dropout,,2031,train_new,source_training_median,revision_v2/reverse/reverse_iid_matched_feature_dropout_seed_2031
reverse_random_partition_group_mask_partition_4101_seed_2031,reverse,random_partition_group_mask,4101,2031,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4101_seed_2031
reverse_random_partition_group_mask_partition_4102_seed_2031,reverse,random_partition_group_mask,4102,2031,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4102_seed_2031
reverse_random_partition_group_mask_partition_4103_seed_2031,reverse,random_partition_group_mask,4103,2031,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4103_seed_2031
reverse_random_partition_group_mask_partition_4104_seed_2031,reverse,random_partition_group_mask,4104,2031,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4104_seed_2031
reverse_random_partition_group_mask_partition_4105_seed_2031,reverse,random_partition_group_mask,4105,2031,train_new,source_training_median,revision_v2/reverse/reverse_random_partition_group_mask_partition_4105_seed_2031
reverse_semantic_uniform_singleton_seed_2031,reverse,semantic_uniform_singleton,,2031,train_new,source_training_median,revision_v2/reverse/reverse_semantic_uniform_singleton_seed_2031
